,"Heavy","2-theta","Intensity"
,"","9.880","0.02392"
,"","9.900","0.02261"
,"","9.920","0.02232"
,"","9.940","0.03045"
,"","9.960","0.02966"
,"","9.980","0.02413"
,"","10.000","0.02509"
,"","10.020","0.03036"
,"","10.040","0.03284"
,"","10.060","0.03782"
,"","10.080","0.03555"
,"","10.100","0.03205"
,"","10.120","0.03963"
,"","10.140","0.04187"
,"","10.160","0.04371"
,"","10.180","0.04560"
,"","10.200","0.05181"
,"","10.220","0.05370"
,"","10.240","0.05178"
,"","10.260","0.04784"
,"","10.280","0.03875"
,"","10.300","0.03397"
,"","10.320","0.03910"
,"","10.340","0.03368"
,"","10.360","0.03698"
,"","10.380","0.03820"
,"","10.400","0.03843"
,"","10.420","0.02590"
,"","10.440","0.02721"
,"","10.460","0.03016"
,"","10.480","0.03287"
,"","10.500","0.03517"
,"","10.520","0.03138"
,"","10.540","0.02416"
,"","10.560","0.02742"
,"","10.580","0.02485"
,"","10.600","0.02509"
,"","10.620","0.01329"
,"","10.640","0.03205"
,"","10.660","0.05184"
,"","10.680","0.05895"
,"","10.700","0.05889"
,"","10.720","0.04898"
,"","10.740","0.04368"
,"","10.760","0.04400"
,"","10.780","0.03333"
,"","10.800","0.03639"
,"","10.820","0.04097"
,"","10.840","0.05245"
,"","10.860","0.06145"
,"","10.880","0.06387"
,"","10.900","0.06227"
,"","10.920","0.05245"
,"","10.940","0.04604"
,"","10.960","0.04464"
,"","10.980","0.03928"
,"","11.000","0.03980"
,"","11.020","0.04499"
,"","11.040","0.03820"
,"","11.060","0.04237"
,"","11.080","0.04516"
,"","11.100","0.04263"
,"","11.120","0.04103"
,"","11.140","0.04141"
,"","11.160","0.03835"
,"","11.180","0.03715"
,"","11.200","0.03432"
,"","11.220","0.04039"
,"","11.240","0.03875"
,"","11.260","0.03709"
,"","11.280","0.03803"
,"","11.300","0.04592"
,"","11.320","0.05207"
,"","11.340","0.05306"
,"","11.360","0.04805"
,"","11.380","0.04391"
,"","11.400","0.05012"
,"","11.420","0.04953"
,"","11.440","0.04691"
,"","11.460","0.04065"
,"","11.480","0.04135"
,"","11.500","0.04333"
,"","11.520","0.04056"
,"","11.540","0.03829"
,"","11.560","0.03129"
,"","11.580","0.02174"
,"","11.600","0.03255"
,"","11.620","0.03106"
,"","11.640","0.03179"
,"","11.660","0.03368"
,"","11.680","0.03409"
,"","11.700","0.03537"
,"","11.720","0.03724"
,"","11.740","0.04044"
,"","11.760","0.03913"
,"","11.780","0.03386"
,"","11.800","0.03919"
,"","11.820","0.03904"
,"","11.840","0.02972"
,"","11.860","0.03622"
,"","11.880","0.03400"
,"","11.900","0.03759"
,"","11.920","0.03150"
,"","11.940","0.03523"
,"","11.960","0.04234"
,"","11.980","0.04403"
,"","12.000","0.04872"
,"","12.020","0.05090"
,"","12.040","0.04423"
,"","12.060","0.04875"
,"","12.080","0.05175"
,"","12.100","0.05155"
,"","12.120","0.04755"
,"","12.140","0.04350"
,"","12.160","0.05679"
,"","12.180","0.06489"
,"","12.200","0.07247"
,"","12.220","0.07526"
,"","12.240","0.06463"
,"","12.260","0.06346"
,"","12.280","0.06597"
,"","12.300","0.05924"
,"","12.320","0.06212"
,"","12.340","0.05583"
,"","12.360","0.06778"
,"","12.380","0.08736"
,"","12.400","0.09814"
,"","12.420","0.09907"
,"","12.440","0.09138"
,"","12.460","0.09190"
,"","12.480","0.08252"
,"","12.500","0.07585"
,"","12.520","0.07063"
,"","12.540","0.07031"
,"","12.560","0.06810"
,"","12.580","0.07422"
,"","12.600","0.06947"
